username,text
307CatherineW,tend pretti loyal marriott brand built quit bank marriott point went book room anaheim trip disneyland use point book towneplac suit three reason 1 much better valu marriott properti anaheim categori 3 point redempt least categori 52 marriott properti anaheim charg daili park fee 3 free contin breakfast tend pretti cost consciou would much rather fill free hotel breakfast pay fast food wor pay disneyland food pricesi still doubt went stay open mind wasnt disappoint biggest concern locat relat disneyland end nonissu anaheim resort transit shuttl ran like clockwork could park less 20 minut cost 12 threeday pass much cheaper park disneyland probabl good bit quicker well even though hotel isnt within walk distanc disneyland wouldnt hesit book locat also plu went angel baseb game stadium half mile walk hotel room adequ full size fridg kitchenett dishwash stove impress probabl unnecessari hotel guest howev microwav stock dish would easi prepar simpl meal room avoid expen eat sleep area total separ bedroom made feel littl small probabl size would find towneplac marriott suitestyl hotel think lack open make feel small everyth nice clean complaint therei see someon el complain breakfast think good expect free seen fancier stay breakfast includ cereal 6 type bagel english muffin yogurt fresh whole fruit instant oatmeal box raisin quit honestli grab box morn snack disneyland critic would wait littl longer start shut breakfast area 930am still pretti earli folk vacat allmi complaint would toilet paper dont necessarili expect nicest paper stuff room roughest singlepli toilet paper ive ever seen think ga station bathroom higher qualiti toilet paper seem pretti iron shampoo condit paul mitchel hotel couldnt spend littl decent twopli over wouldnt hesit recommend hotel anyon go disneyland angel game although may encourag bring tp
310katherinep,travel east coast need one night stay call ahead book baymont inform us brand new remodel room got room found new carpet end tv antiqu remot would oper old set
310tammit,nice room homey feel pictur wall interest check area realli cool lot north stuff restraunt home cookin good food spirit nice peopl dinner better breakfast
312jeff,great locat downtown ithaca starbuck conveni locat insid build front desk servic except ladi work check wonder room clean comfort would highli recommend
320Trisha320,look travel southwest look furthur chocal turtl bed breakfast corral amount award receiv numer realli deserv amaz set home first arriv graciou innkeep ever find realli comfort room everyth need abund snacksdrink
324kathleenh,stay son colleg graduat friendli help accommod staff comfi bed pillow plenti extra linen breakfast plenti varieti palett complimentari snack drink alway avail
332amberp,super close thing main road isnt super busi loud close beach shop center everyth el could need employ help cheer couldnt ask better weekend trip stay long time room spaciou full kitchen
335bh,super 8 bloomingtonairport conveni locat close minneapoli airport clean despit expect dust etc cau due renov staff friendli accommod complimentari breakfast tasti hot makeyourown waffl cereal yogurt fresh fruit etc park fli econom time much appreci
336kelseym,room outdat littl okay wall sconc didnt work matter switch turn fridg wasnt cold upon arriv nice big tv entir room could see suit creaki bathroom doorand babi sleep conveni over okay good front desk custom servic check would
344yvonnep,hotel great locat roomi mani room patio enjoy coff morn cocktail afternoon nice bar restaur site walk randal statium cross street
374chinw,hotel easi access hiway37 third street exit easi drive iu campu footbal stadium etc hotel clean well maintainedmikhail new employ help upon checkin sue bob excel keep morn breakfast item stock kept breakfast area clean organ
374rogerk,cant find fault stay well mayb entranc well identifi two occa cardkey room fail
375bonniem,stay part celebr husband 60th birthday hotel clean well kept staff friendli help great complimentari breakfast would definit recommend hotel famili friend thank great stay
